"","urlhold","V2","V3","V4","V5","colorcount"
"63","http://www.freshpair.com/Frigo-No-3-Stretch-Cotton-Boxer-Briefs-3W6.html","Frigo","No. 3 Stretch Cotton Boxer Briefs","26.00","
Materials: 90% cotton, 10% elastane","2"
"64","http://www.freshpair.com/Calvin-Klein-Body-Modal-Trunk-U5554.html","Calvin Klein","Body Modal Trunk","28.00","
Materials: 90% modal, 10% lycra elastane.","4"
"65","http://www.freshpair.com/Obviously-Essence-Naked-Hipster-Brief-Y23107.html","Obviously","Essence Naked Hipster Brief","26.95","
Materials: 90% modal, 10% lycra","4"
"66","http://www.freshpair.com/C-IN2-HARD-Strap-Jock-6925P-12515.html","C-IN2","HARD Strap Jock","24.00","
Materials: 95% cotton, 5% elastane","2"
"67","http://www.freshpair.com/Polo-Ralph-Lauren-3-Pack-Classic-Cotton-Knit-Boxers-LCKB.html","Polo Ralph Lauren","3-Pack Classic Cotton Knit Boxers","39.50","
Materials: 100% cotton","4"
"68","http://www.freshpair.com/Calvin-Klein-3-Pack-Cotton-Classic-Knit-Boxer-NU3040.html","Calvin Klein","3-Pack Cotton Classic Knit Boxer","39.50","
Material: 100% cotton","3"
"69","http://www.freshpair.com/Hanes-5-Pack-Tagless-ComfortSoft-Knit-Boxers-MKCBX5.html","Hanes","5-Pack Tagless ComfortSoft Knit Boxers","22.10","
Materials: Cotton/polyester","1"
"70","http://www.freshpair.com/Fruit-of-the-Loom-3-Pack-Big-Man-Basic-Brief-7690.html","Fruit of the Loom","3-Pack Big Man Basic Brief","12.98","
Material: 100% cotton","1"
"71","http://www.freshpair.com/Leo-Padded-Bottoms-Enhancer-Boxer-Brief-033280.html","Leo","Padded Bottoms Enhancer Boxer Brief","37.00","
Materials: 86% polyamide, 14% elastane; Lining: 86% polyamide, 14% elastane","2"
"72","http://www.freshpair.com/Papi-3-Pack-Cotton-Stretch-Jockstraps-980911.html","Papi","3-Pack Cotton Stretch Jockstraps","22.00","
Materials: 95% cotton, 5% spandex","2"
"73","http://www.freshpair.com/Gregg-Homme-Gentlemen-Thong-121604.html","Gregg Homme","Gentlemen Thong","30.95","
Materials: 52% Polyamide, 37% Cotton, 11% Elastane","1"
"74","http://www.freshpair.com/Perry-Ellis-Luxe-Plaid-Boxers-163031.html","Perry Ellis","Luxe Plaid Boxers","20.00","
Materials: 88% polyester, 12% spandex","2"
"75","http://www.freshpair.com/Obviously-Naked-Hipster-Brief-Y1107.html","Obviously","Naked Hipster Brief","16.95","unknown","3"
"76","http://www.freshpair.com/C-IN2-Core-Lo-No-Show-Profile-Brief-4013.html","C-IN2","Core Lo No Show Profile Brief","16.00","
Material: 100% cotton","3"
"77","http://www.freshpair.com/C-IN2-Scuff-Low-No-Show-Brief-5113-41515.html","C-IN2","Scuff Low No Show Brief","24.00","
Materials: 97% cotton, 3% spandex","2"
"78","http://www.freshpair.com/2xist-Maximize-Sculpted-Contour-Pouch-Brief-3100324003.html","2xist","Maximize Sculpted Contour Pouch Brief","28.00","
Materials: 96% modal, 4% spandex","2"
"79","http://www.freshpair.com/C-IN2-Zen-Army-Trunk-3223-11515.html","C-IN2","Zen Army Trunk","26.00","
Materials: 59% cotton, 39% modal/rayon/viscose, 2% spandex/elastane/lycra","2"
"80","http://www.freshpair.com/C-IN2-Core-Lo-No-Show-Army-Trunk-4023c.html","C-IN2","Core Lo No Show Army Trunk","21.00","
Material:","3"
"81","http://www.freshpair.com/C-IN2-Zen-Army-Trunk-3223C.html","C-IN2","Zen Army Trunk","26.00","
Materials: 59% cotton, 39% modal/rayon/viscose, 2% spandex/elastane/lycra","2"
"82","http://www.freshpair.com/N2N-Liquid-Skins-B12.html","N2N","Liquid Skins","50.00","
Materials: 83% nylon, 17% spandex (matte coated tricot)","1"
"83","http://www.freshpair.com/Calvin-Klein-Air-Micro-Boxer-Brief-NB1006.html","Calvin Klein","Air Micro Boxer Brief","30.00","
Materials: 84% nylon, 16% elastane","3"
"84","http://www.freshpair.com/2xist-Pima-Knit-Boxer-Shorts-3104100701.html","2xist","Pima Knit Boxer Shorts","28.00","unknown","2"
"85","http://www.freshpair.com/Clever-Desert-Boxer-Brief-2159.html","Clever","Desert Boxer Brief","25.00","
Materials: nylon, spandex","2"
"86","http://www.freshpair.com/Polo-Ralph-Lauren-4-Pack-Classic-Cotton-Low-Rise-Briefs-LCBF.html","Polo Ralph Lauren","4-Pack Classic Cotton Low-Rise Briefs","39.50","
Materials: 100% cotton","4"
"87","http://www.freshpair.com/Calvin-Klein-2-Pack-Body-Hip-Brief-U1803.html","Calvin Klein","2-Pack Body Hip Brief","27.50","unknown","4"
"88","http://www.freshpair.com/Munsingwear-2-Pack-Midway-Boxer-Brief-MW07.html","Munsingwear","2-Pack Midway Boxer Brief","15.20","
Material:100% combed pre-shrunk cotton","2"
"89","http://www.freshpair.com/Tommy-Hilfiger-4-Pack-Boxer-Brief-09T0525.html","Tommy Hilfiger","4-Pack Boxer Brief","45.00","
Material: 100% cotton","2"
"90","http://www.freshpair.com/Tommy-Hilfiger-4pk-Woven-Boxer-09T2032.html","Tommy Hilfiger","4pk Woven Boxer","45.00","
Material: 100% cotton","1"
